price_range,freq
1098201 to 1100200,0
1100201 to 1102200,0
1102201 to 1104200,8
1104201 to 1106200,0
1106201 to 1108200,0
1108201 to 1110200,1
1110201 to 1112200,0
1112201 to 1114200,0
1114201 to 1116200,0
1116201 to 1118200,0
1118201 to 1120200,0
1120201 to 1122200,0
1122201 to 1124200,0
1124201 to 1126200,0
1126201 to 1128200,0
1128201 to 1130200,0
1130201 to 1132200,0
1132201 to 1134200,0
1134201 to 1136200,0
1136201 to 1138200,0
1138201 to 1140200,0
1140201 to 1142200,0
1142201 to 1144200,0
1144201 to 1146200,0
1146201 to 1148200,0
1148201 to 1150200,0
1150201 to 1152200,0
1152201 to 1154200,0
1154201 to 1156200,0
1156201 to 1158200,0
1158201 to 1160200,0
1160201 to 1162200,1
1162201 to 1164200,0
1164201 to 1166200,0
1166201 to 1168200,0
1168201 to 1170200,0
1170201 to 1172200,1
1172201 to 1174200,0
1174201 to 1176200,0
1176201 to 1178200,0
1178201 to 1180200,0
1180201 to 1182200,0
1182201 to 1184200,0
1184201 to 1186200,0
1186201 to 1188200,0
1188201 to 1190200,0
1190201 to 1192200,0
1192201 to 1194200,0
1194201 to 1196200,0
1196201 to 1198200,0
1198201 to 1200200,0
1200201 to 1202200,0
1202201 to 1204200,0
1204201 to 1206200,1
1206201 to 1208200,0
1208201 to 1210200,0
1210201 to 1212200,0
1212201 to 1214200,0
1214201 to 1216200,0
1216201 to 1218200,0
1218201 to 1220200,0
1220201 to 1222200,0
1222201 to 1224200,0
1224201 to 1226200,0
1226201 to 1228200,0
1228201 to 1230200,0
1230201 to 1232200,0
1232201 to 1234200,0
1234201 to 1236200,0
1236201 to 1238200,1
1238201 to 1240200,0
1240201 to 1242200,0
1242201 to 1244200,0
1244201 to 1246200,0
1246201 to 1248200,0
1248201 to 1250200,0
1250201 to 1252200,0
1252201 to 1254200,0
1254201 to 1256200,0
1256201 to 1258200,0
1258201 to 1260200,0
1260201 to 1262200,0
1262201 to 1264200,0
1264201 to 1266200,0
1266201 to 1268200,0
1268201 to 1270200,0
1270201 to 1272200,0
1272201 to 1274200,0
1274201 to 1276200,0
1276201 to 1278200,0
1278201 to 1280200,0
1280201 to 1282200,0
1282201 to 1284200,0
1284201 to 1286200,0
1286201 to 1288200,0
1288201 to 1290200,0
1290201 to 1292200,0
1292201 to 1294200,0
1294201 to 1296200,0
1296201 to 1298200,0
1298201 to 1300200,0
1300201 to 1302200,0
1302201 to 1304200,0
1304201 to 1306200,0
1306201 to 1308200,0
1308201 to 1310200,0
1310201 to 1312200,0
1312201 to 1314200,0
1314201 to 1316200,0
1316201 to 1318200,0
1318201 to 1320200,0
1320201 to 1322200,0
1322201 to 1324200,0
1324201 to 1326200,0
1326201 to 1328200,0
1328201 to 1330200,0
1330201 to 1332200,0
1332201 to 1334200,0
1334201 to 1336200,0
1336201 to 1338200,0
1338201 to 1340200,0
1340201 to 1342200,0
1342201 to 1344200,0
1344201 to 1346200,1
1346201 to 1348200,0
1348201 to 1350200,0
1350201 to 1352200,0
1352201 to 1354200,0
1354201 to 1356200,0
1356201 to 1358200,0
1358201 to 1360200,0
1360201 to 1362200,0
1362201 to 1364200,0
1364201 to 1366200,0
1366201 to 1368200,0
1368201 to 1370200,0
1370201 to 1372200,0
1372201 to 1374200,0
1374201 to 1376200,0
1376201 to 1378200,0
1378201 to 1380200,0
1380201 to 1382200,0
1382201 to 1384200,0
1384201 to 1386200,0
1386201 to 1388200,0
1388201 to 1390200,0
1390201 to 1392200,0
1392201 to 1394200,0
1394201 to 1396200,0
1396201 to 1398200,0
1398201 to 1400200,0
1400201 to 1402200,0
1402201 to 1404200,0
1404201 to 1406200,0
1406201 to 1408200,0
1408201 to 1410200,0
1410201 to 1412200,0
1412201 to 1414200,0
1414201 to 1416200,0
1416201 to 1418200,0
1418201 to 1420200,1
1420201 to 1422200,0
1422201 to 1424200,0
1424201 to 1426200,0
1426201 to 1428200,0
1428201 to 1430200,0
1430201 to 1432200,0
1432201 to 1434200,0
1434201 to 1436200,0
1436201 to 1438200,0
1438201 to 1440200,0
1440201 to 1442200,0
1442201 to 1444200,0
1444201 to 1446200,0
1446201 to 1448200,0
1448201 to 1450200,0
1450201 to 1452200,0
1452201 to 1454200,0
1454201 to 1456200,0
1456201 to 1458200,0
1458201 to 1460200,0
1460201 to 1462200,0
1462201 to 1464200,0
1464201 to 1466200,0
1466201 to 1468200,0
1468201 to 1470200,0
1470201 to 1472200,0
1472201 to 1474200,0
1474201 to 1476200,0
1476201 to 1478200,0
1478201 to 1480200,0
1480201 to 1482200,0
1482201 to 1484200,0
1484201 to 1486200,0
1486201 to 1488200,0
1488201 to 1490200,0
1490201 to 1492200,0
1492201 to 1494200,0
1494201 to 1496200,0
1496201 to 1498200,0
1498201 to 1500200,0
1500201 to 1502200,0
1502201 to 1504200,0
1504201 to 1506200,0
1506201 to 1508200,0
1508201 to 1510200,0
1510201 to 1512200,0
1512201 to 1514200,0
1514201 to 1516200,0
1516201 to 1518200,0
1518201 to 1520200,0
1520201 to 1522200,0
1522201 to 1524200,0
1524201 to 1526200,0
